"country","spending","pop2022"
"United States","750000000000","338289.8570"
"China","237000000000","1425887.3370"
"Saudi Arabia","67600000000","36408.8200"
"India","61000000000","1417173.1730"
"United Kingdom","55100000000","67508.9360"
"Germany","50000000000","83369.8430"
"Japan","49000000000","123951.6920"
"Russia","48000000000","144713.3140"
"South Korea","44000000000","51815.8100"
"France","41500000000","64626.6280"
"Brazil","27800000000","215313.4980"
"Italy","27800000000","59037.4740"
"Australia","26300000000","26177.4130"
"United Arab Emirates","22755000000","9441.1290"
"Canada","22500000000","38454.3270"
"Israel","20000000000","9038.3090"
"Iran","19600000000","88550.5700"
"Turkey","19000000000","85341.2410"
"Spain","15100000000","47558.6300"
"Algeria","13000000000","44903.2250"
"Netherlands","12419000000","17564.0140"
"Afghanistan","12000000000","41128.7710"
"Poland","12000000000","39857.1450"
"Pakistan","11400000000","235824.8620"
"Egypt","11200000000","110990.1030"
"Singapore","11200000000","5975.6890"
"Taiwan","10725000000","23893.3940"
"Colombia","10600000000","51874.0240"
"Morocco","10000000000","37457.9710"
"Oman","8686000000","4576.2980"
"Indonesia","7600000000","275501.3390"
"Norway","7179000000","5434.3190"
"Thailand","7100000000","71697.0300"
"Mexico","7000000000","127504.1250"
"Angola","7000000000","35588.9870"
"Kuwait","6831000000","4268.8730"
"Sweden","6327000000","10549.3470"
"Qatar","6000000000","2695.1220"
"Vietnam","5500000000","98186.8560"
"Ukraine","5400000000","39701.7390"
"Romania","5050000000","19659.2670"
"Switzerland","5000000000","8740.4720"
"Uruguay","4950000000","3422.7940"
"Belgium","4921000000","11655.9300"
"Greece","4844000000","10384.9710"
"Denmark","4760000000","5882.2610"
"New Zealand","4300000000","5185.2880"
"South Africa","4278000000","59893.8850"
"Chile","4250000000","19603.7330"
"Argentina","4200000000","45510.3180"
"Malaysia","4000000000","33938.2210"
"Kazakhstan","4000000000","19397.9980"
"Bangladesh","3800000000","171186.3720"
"Finland","3570000000","5540.7450"
"Philippines","3470000000","115559.0090"
"Austria","3380000000","8939.6170"
"Portugal","3358000000","10270.8650"
"Libya","3000000000","6812.3410"
"Czech Republic","2969000000","10493.9860"
"Azerbaijan","2805000000","10358.0740"
"Myanmar","2650000000","54179.3060"
"Jordan","2600000000","11285.8690"
"Peru","2560000000","34049.5880"
"Sri Lanka","2500000000","21832.1430"
"Ecuador","2500000000","18001"
"Lebanon","2500000000","5489.7390"
"Sudan","2470000000","46874.2040"
"Nigeria","2155000000","218541.2120"
"Slovakia","2122000000","5643.4530"
"Hungary","2080000000","9967.3080"
"Syria","1800000000","22125.2490"
"Iraq","1730000000","44496.1220"
"North Korea","1600000000","26069.4160"
"Tajikistan","1600000000","9952.7870"
"Bahrain","1415000000","1472.2330"
"Yemen","1400000000","33696.6140"
"Armenia","1385000000","2780.4690"
"Lithuania","1107000000","2750.0550"
"Bulgaria","1079000000","6781.9530"
"Uzbekistan","975000000","34627.6520"
"Uganda","935000000","47249.5850"
"Serbia","907000000","7221.3650"
"Ireland","870000000","5023.1090"
"Croatia","800000000","4030.3580"
"Dominican Republic","760000000","11228.8210"
"Venezuela","745000000","28301.6960"
"Latvia","724000000","1850.6510"
"Republic of the Congo","715000000","5970.4240"
"Ghana","710000000","33475.8700"
"Estonia","685000000","1326.0620"
"Bolivia","660000000","12224.1100"
"Cambodia","604000000","16767.8420"
"Slovenia","581000000","2119.8440"
"Ivory Coast","550000000","28160.5420"
"Tunisia","550000000","12356.1170"
"Namibia","505000000","2567.0120"
"Cuba","500000000","11212.1910"
"Panama","500000000","4408.5810"
"Botswana","450000000","2630.2960"
"Ethiopia","350000000","123379.9240"
"Cameroon","347000000","27914.5360"
"Georgia","327000000","3744.3850"
"Paraguay","250000000","6780.7440"
"Albania","250000000","2842.3210"
"Mozambique","245000000","32969.5180"
"Guatemala","240000000","17843.9080"
"Tanzania","223000000","65497.7480"
"Nepal","213000000","30547.5800"
"Honduras","205000000","10432.8600"
"Chad","200000000","17723.3150"
"Turkmenistan","200000000","6430.7700"
"El Salvador","167000000","6336.3920"
"Bosnia and Herzegovina","165000000","3233.5260"
"Mongolia","155000000","3398.3660"
"Nicaragua","140000000","6948.3920"
"Burkina Faso","130000000","22673.7620"
"Kenya","121000000","54027.4870"
"Madagascar","115000000","29611.7140"
"North Macedonia","108150000","2093.5990"
"DR Congo","100000000","99010.2120"
"Zimbabwe","100000000","16320.5370"
"Gabon","83000000","2388.9920"
"South Sudan","80000000","10913.1640"
"Sierra Leone","75500000","8605.7180"
"Mali","70000000","22593.5900"
"Montenegro","65000000","627.0820"
"Suriname","63000000","618.0400"
"Somalia","62200000","17597.5110"
"Mauritania","50250000","4736.1390"
"Zambia","40000000","20017.6750"
"Moldova","30000000","3272.9960"
"Bhutan","25120000","782.4550"
"Kyrgyzstan","20000000","6630.6230"
"Central African Republic","20000000","5579.1440"
"Laos","18500000","7529.4750"
"Liberia","13000000","5302.6810"
"Belarus","623.7000","9534.9540"