Entity,Code,Year,Sales of cigarettes per adult per day (International Smoking Statistics (2017)) 
Armenia,ARM,1988,12
Armenia,ARM,1989,11.60000038146973
Armenia,ARM,1990,11.89999961853027
Armenia,ARM,1991,9.300000190734863
Armenia,ARM,1992,4.900000095367432
Armenia,ARM,1993,5.5
Armenia,ARM,1994,5.699999809265137
Armenia,ARM,1995,5.599999904632568
Armenia,ARM,1996,5.599999904632568
Armenia,ARM,1997,5.599999904632568
Armenia,ARM,1998,5.699999809265137
Australia,AUS,1920,1.600000023841858
Australia,AUS,1921,1.799999952316284
Australia,AUS,1922,1.600000023841858
Australia,AUS,1923,1.5
Australia,AUS,1924,1.600000023841858
Australia,AUS,1925,2.799999952316284
Australia,AUS,1926,1.600000023841858
Australia,AUS,1927,1.700000047683716
Australia,AUS,1928,1.799999952316284
Australia,AUS,1929,1.799999952316284
Australia,AUS,1930,3.700000047683716
Australia,AUS,1931,1.200000047683716
Australia,AUS,1932,1.100000023841858
Australia,AUS,1933,1.200000047683716
Australia,AUS,1934,1.200000047683716
Australia,AUS,1935,3.599999904632568
Australia,AUS,1936,1.299999952316284
Australia,AUS,1937,1.399999976158142
Australia,AUS,1938,1.5
Australia,AUS,1939,1.700000047683716
Australia,AUS,1940,4.900000095367432
Australia,AUS,1941,1.600000023841858
Australia,AUS,1942,1.799999952316284
Australia,AUS,1943,1.799999952316284
Australia,AUS,1944,1.799999952316284
Australia,AUS,1945,4.599999904632568
Australia,AUS,1946,1.799999952316284
Australia,AUS,1947,2.200000047683716
Australia,AUS,1948,2.700000047683716
Australia,AUS,1949,3.099999904632568
Australia,AUS,1950,7.300000190734863
Australia,AUS,1951,4.099999904632568
Australia,AUS,1952,4.099999904632568
Australia,AUS,1953,3.900000095367432
Australia,AUS,1954,4.5
Australia,AUS,1955,8.600000381469727
Australia,AUS,1956,5.199999809265137
Australia,AUS,1957,8.899999618530273
Australia,AUS,1958,5.800000190734863
Australia,AUS,1959,6.099999904632568
Australia,AUS,1960,9.100000381469727
Australia,AUS,1961,9
Australia,AUS,1962,8.800000190734863
Australia,AUS,1963,8.699999809265137
Australia,AUS,1964,8.800000190734863
Australia,AUS,1965,8.699999809265137
Australia,AUS,1966,8.899999618530273
Australia,AUS,1967,8.5
Australia,AUS,1968,8.800000190734863
Australia,AUS,1969,8.899999618530273
Australia,AUS,1970,9.100000381469727
Australia,AUS,1971,8.899999618530273
Australia,AUS,1972,9.199999809265137
Australia,AUS,1973,9.399999618530273
Australia,AUS,1974,10
Australia,AUS,1975,9.699999809265137
Australia,AUS,1976,9.100000381469727
Australia,AUS,1977,9.800000190734863
Australia,AUS,1978,9.600000381469727
Australia,AUS,1979,9.399999618530273
Australia,AUS,1980,9.699999809265137
Australia,AUS,1981,9.300000190734863
Australia,AUS,1982,8.899999618530273
Australia,AUS,1983,8.399999618530273
Australia,AUS,1984,8.199999809265137
Australia,AUS,1985,8.100000381469727
Australia,AUS,1986,8.100000381469727
Australia,AUS,1987,7.599999904632568
Australia,AUS,1988,7.599999904632568
Australia,AUS,1989,7.599999904632568
Australia,AUS,1990,7.599999904632568
Australia,AUS,1991,7.300000190734863
Australia,AUS,1992,7.300000190734863
Australia,AUS,1993,6.599999904632568
Australia,AUS,1994,6.400000095367432
Australia,AUS,1995,6.300000190734863
Australia,AUS,1996,5.599999904632568
Australia,AUS,1997,5.599999904632568
Australia,AUS,1998,5.400000095367432
Australia,AUS,1999,5.099999904632568
Australia,AUS,2000,4.900000095367432
Australia,AUS,2001,4.5
Australia,AUS,2002,4.300000190734863
Australia,AUS,2003,4.5
Australia,AUS,2004,4.300000190734863
Australia,AUS,2005,4.199999809265137
Australia,AUS,2006,4.099999904632568
Australia,AUS,2007,4.099999904632568
Australia,AUS,2008,4.199999809265137
Australia,AUS,2009,4.099999904632568
Australia,AUS,2010,4
Austria,AUT,1923,2.5
Austria,AUT,1924,2.900000095367432
Austria,AUT,1925,2.900000095367432
Austria,AUT,1926,3.099999904632568
Austria,AUT,1927,3.299999952316284
Austria,AUT,1928,3.400000095367432
Austria,AUT,1929,3.5
Austria,AUT,1930,3.5
Austria,AUT,1931,3.299999952316284
Austria,AUT,1932,3.400000095367432
Austria,AUT,1933,3
Austria,AUT,1934,2.900000095367432
Austria,AUT,1935,2.900000095367432
Austria,AUT,1936,2.900000095367432
Austria,AUT,1937,2.799999952316284
Austria,AUT,1938,3.200000047683716
Austria,AUT,1939,4
Austria,AUT,1940,5
Austria,AUT,1941,5.800000190734863
Austria,AUT,1942,5.300000190734863
Austria,AUT,1943,5.300000190734863
Austria,AUT,1944,4.199999809265137
Austria,AUT,1945,1.600000023841858
Austria,AUT,1946,1.100000023841858
Austria,AUT,1947,1.600000023841858
Austria,AUT,1948,2
Austria,AUT,1949,2.5
Austria,AUT,1950,3
Austria,AUT,1951,3.5
Austria,AUT,1952,3.700000047683716
Austria,AUT,1953,3.799999952316284
Austria,AUT,1954,3.299999952316284
Austria,AUT,1955,3.700000047683716
Austria,AUT,1956,4.099999904632568
Austria,AUT,1957,4.300000190734863
Austria,AUT,1958,4.599999904632568
Austria,AUT,1959,4.699999809265137
Austria,AUT,1960,4.800000190734863
Austria,AUT,1961,4.699999809265137
Austria,AUT,1962,4.900000095367432
Austria,AUT,1963,5.099999904632568
Austria,AUT,1964,5.199999809265137
Austria,AUT,1965,5.400000095367432
Austria,AUT,1966,5.800000190734863
Austria,AUT,1967,5.900000095367432
Austria,AUT,1968,6
Austria,AUT,1969,6.199999809265137
Austria,AUT,1970,6.5
Austria,AUT,1971,6.599999904632568
Austria,AUT,1972,6.5
Austria,AUT,1973,7
Austria,AUT,1974,6.900000095367432
Austria,AUT,1975,6.599999904632568
Austria,AUT,1976,6.800000190734863
Austria,AUT,1977,6.900000095367432
Austria,AUT,1978,7
Austria,AUT,1979,7.199999809265137
Austria,AUT,1980,7.099999904632568
Austria,AUT,1981,7.099999904632568
Austria,AUT,1982,7
Austria,AUT,1983,7.199999809265137
Austria,AUT,1984,7
Austria,AUT,1985,7
Austria,AUT,1986,7
Austria,AUT,1987,6.800000190734863
Austria,AUT,1988,6.400000095367432
Austria,AUT,1989,6.199999809265137
Austria,AUT,1990,6.300000190734863
Austria,AUT,1991,6.400000095367432
Austria,AUT,1992,6.099999904632568
Austria,AUT,1993,5.800000190734863
Austria,AUT,1994,5.900000095367432
Austria,AUT,1995,5.599999904632568
Austria,AUT,1996,5.400000095367432
Austria,AUT,1997,5.699999809265137
Austria,AUT,1998,6.400000095367432
Austria,AUT,1999,6.599999904632568
Austria,AUT,2000,6.5
Austria,AUT,2001,6.300000190734863
Austria,AUT,2002,4.800000190734863
Austria,AUT,2003,4.599999904632568
Austria,AUT,2004,4.599999904632568
Azerbaijan,AZE,1988,5.099999904632568
Azerbaijan,AZE,1989,4.900000095367432
Azerbaijan,AZE,1990,4.400000095367432
Azerbaijan,AZE,1991,5.199999809265137
Azerbaijan,AZE,1992,3.799999952316284
Azerbaijan,AZE,1993,1.100000023841858
Azerbaijan,AZE,1994,3.299999952316284
Azerbaijan,AZE,1995,3.299999952316284
Azerbaijan,AZE,1996,3.299999952316284
Azerbaijan,AZE,1997,3.400000095367432
Azerbaijan,AZE,1998,3.200000047683716
Belarus,BLR,1988,4.400000095367432
Belarus,BLR,1989,4.300000190734863
Belarus,BLR,1990,4.300000190734863
Belarus,BLR,1991,4.699999809265137
Belarus,BLR,1992,4.699999809265137
Belarus,BLR,1993,4.599999904632568
Belarus,BLR,1994,4.800000190734863
Belarus,BLR,1995,4.800000190734863
Belarus,BLR,1996,5.099999904632568
Belarus,BLR,1997,5.199999809265137
Belarus,BLR,1998,5.400000095367432
Belgium,BEL,1921,6.599999904632568
Belgium,BEL,1922,7.099999904632568
Belgium,BEL,1923,7.300000190734863
Belgium,BEL,1924,7.5
Belgium,BEL,1925,7.400000095367432
Belgium,BEL,1926,7.5
Belgium,BEL,1927,7.599999904632568
Belgium,BEL,1928,7.699999809265137
Belgium,BEL,1929,7.800000190734863
Belgium,BEL,1930,8
Belgium,BEL,1931,8
Belgium,BEL,1932,7.5
Belgium,BEL,1933,7.300000190734863
Belgium,BEL,1934,7
Belgium,BEL,1935,7.099999904632568
Belgium,BEL,1936,7.300000190734863
Belgium,BEL,1937,7.099999904632568
Belgium,BEL,1938,7.099999904632568
Belgium,BEL,1939,7.5
Belgium,BEL,1940,6.199999809265137
Belgium,BEL,1941,5.599999904632568
Belgium,BEL,1942,4.699999809265137
Belgium,BEL,1943,2.5
Belgium,BEL,1944,2.400000095367432
Belgium,BEL,1945,3.400000095367432
Belgium,BEL,1946,6.400000095367432
Belgium,BEL,1947,7.099999904632568
Belgium,BEL,1948,7.199999809265137
Belgium,BEL,1949,7
Belgium,BEL,1950,6.900000095367432
Belgium,BEL,1951,6.800000190734863
Belgium,BEL,1952,7
Belgium,BEL,1953,6.900000095367432
Belgium,BEL,1954,6.800000190734863
Belgium,BEL,1955,6.699999809265137
Belgium,BEL,1956,6.900000095367432
Belgium,BEL,1957,7.099999904632568
Belgium,BEL,1958,7.199999809265137
Belgium,BEL,1959,7.099999904632568
Belgium,BEL,1960,7.300000190734863
Belgium,BEL,1961,7.300000190734863
Belgium,BEL,1962,7.400000095367432
Belgium,BEL,1963,7.400000095367432
Belgium,BEL,1964,7.400000095367432
Belgium,BEL,1965,7.800000190734863
Belgium,BEL,1966,8
Belgium,BEL,1967,8.399999618530273
Belgium,BEL,1968,8.100000381469727
Belgium,BEL,1969,8.199999809265137
Belgium,BEL,1970,8.399999618530273
Belgium,BEL,1971,8.5
Belgium,BEL,1972,8.600000381469727
Belgium,BEL,1973,8.899999618530273
Belgium,BEL,1974,8.800000190734863
Belgium,BEL,1975,8.300000190734863
Belgium,BEL,1976,8.199999809265137
Belgium,BEL,1977,7.900000095367432
Belgium,BEL,1978,7
Belgium,BEL,1979,7.300000190734863
Belgium,BEL,1980,7.300000190734863
Belgium,BEL,1981,7.300000190734863
Belgium,BEL,1982,8.100000381469727
Belgium,BEL,1983,8
Belgium,BEL,1984,8.100000381469727
Belgium,BEL,1985,7.599999904632568
Belgium,BEL,1986,7.300000190734863
Belgium,BEL,1987,6.699999809265137
Belgium,BEL,1988,6.699999809265137
Belgium,BEL,1989,6.300000190734863
Belgium,BEL,1990,6
Belgium,BEL,1991,6.099999904632568
Belgium,BEL,1992,5.900000095367432
Belgium,BEL,1993,5.599999904632568
Belgium,BEL,1994,5.5
Belgium,BEL,1995,6
Belgium,BEL,1996,6.300000190734863
Belgium,BEL,1997,6.400000095367432
Belgium,BEL,1998,6.699999809265137
Belgium,BEL,1999,6.800000190734863
Belgium,BEL,2000,7
Belgium,BEL,2001,6.199999809265137
Belgium,BEL,2002,7
Belgium,BEL,2003,7
Belgium,BEL,2004,6.699999809265137
Belgium,BEL,2005,6.5
Belgium,BEL,2006,6.800000190734863
Belgium,BEL,2007,6
Belgium,BEL,2008,5.5
Belgium,BEL,2009,5.699999809265137
Belgium,BEL,2010,6.300000190734863
Belgium,BEL,2011,5.199999809265137
Bulgaria,BGR,1913,0.2000000029802322
Bulgaria,BGR,1920,0.800000011920929
Bulgaria,BGR,1921,1.399999976158142
Bulgaria,BGR,1922,2
Bulgaria,BGR,1923,2.299999952316284
Bulgaria,BGR,1960,4
Bulgaria,BGR,1961,4.300000190734863
Bulgaria,BGR,1962,4.5
Bulgaria,BGR,1963,4.900000095367432
Bulgaria,BGR,1964,4.5
Bulgaria,BGR,1965,3.900000095367432
Bulgaria,BGR,1966,5.099999904632568
Bulgaria,BGR,1967,3.400000095367432
Bulgaria,BGR,1968,4.699999809265137
Bulgaria,BGR,1969,6.300000190734863
Bulgaria,BGR,1970,4.099999904632568
Bulgaria,BGR,1971,5.099999904632568
Bulgaria,BGR,1972,5.300000190734863
Bulgaria,BGR,1973,5.5
Bulgaria,BGR,1974,6.699999809265137
Bulgaria,BGR,1975,5.300000190734863
Bulgaria,BGR,1976,5.599999904632568
Bulgaria,BGR,1977,6.699999809265137
Bulgaria,BGR,1978,5.599999904632568
Bulgaria,BGR,1979,5.599999904632568
Bulgaria,BGR,1980,5.199999809265137
Bulgaria,BGR,1981,5.099999904632568
Bulgaria,BGR,1982,5.099999904632568
Bulgaria,BGR,1983,5.699999809265137
Bulgaria,BGR,1984,6.300000190734863
Bulgaria,BGR,1985,6.599999904632568
Bulgaria,BGR,1986,7.099999904632568
Bulgaria,BGR,1987,6.199999809265137
Bulgaria,BGR,1988,5.300000190734863
Bulgaria,BGR,1989,5.400000095367432
Bulgaria,BGR,1990,4.699999809265137
Bulgaria,BGR,1991,6
Bulgaria,BGR,1992,7.099999904632568
Bulgaria,BGR,1993,7.5
Bulgaria,BGR,1994,6
Bulgaria,BGR,1995,6.400000095367432
Bulgaria,BGR,1996,7.599999904632568
Bulgaria,BGR,1997,7.400000095367432
Bulgaria,BGR,1998,7.199999809265137
Bulgaria,BGR,1999,7.599999904632568
Bulgaria,BGR,2000,7.599999904632568
Bulgaria,BGR,2001,7.800000190734863
Bulgaria,BGR,2002,8.899999618530273
Bulgaria,BGR,2003,10
Bulgaria,BGR,2004,9.399999618530273
Bulgaria,BGR,2007,8.100000381469727
Bulgaria,BGR,2008,8.800000190734863
Bulgaria,BGR,2009,8.300000190734863
Bulgaria,BGR,2010,6.599999904632568
Bulgaria,BGR,2011,5.699999809265137
Bulgaria,BGR,2012,5.800000190734863
Bulgaria,BGR,2013,6
Bulgaria,BGR,2014,5.900000095367432
Canada,CAN,1920,1
Canada,CAN,1921,1.100000023841858
Canada,CAN,1922,0.8999999761581421
Canada,CAN,1923,1
Canada,CAN,1924,1.100000023841858
Canada,CAN,1925,1.200000047683716
Canada,CAN,1926,1.399999976158142
Canada,CAN,1927,1.600000023841858
Canada,CAN,1928,1.799999952316284
Canada,CAN,1929,2.099999904632568
Canada,CAN,1930,2
Canada,CAN,1931,1.700000047683716
Canada,CAN,1932,1.399999976158142
Canada,CAN,1933,1.600000023841858
Canada,CAN,1934,1.799999952316284
Canada,CAN,1935,1.899999976158142
Canada,CAN,1936,2
Canada,CAN,1937,2.299999952316284
Canada,CAN,1938,2.400000095367432
Canada,CAN,1939,2.400000095367432
Canada,CAN,1940,2.599999904632568
Canada,CAN,1941,2.900000095367432
Canada,CAN,1942,3.299999952316284
Canada,CAN,1943,3.599999904632568
Canada,CAN,1944,3.700000047683716
Canada,CAN,1945,4.5
Canada,CAN,1946,4.699999809265137
Canada,CAN,1947,4.699999809265137
Canada,CAN,1948,4.800000190734863
Canada,CAN,1949,4.900000095367432
Canada,CAN,1950,4.900000095367432
Canada,CAN,1951,4.400000095367432
Canada,CAN,1952,4.900000095367432
Canada,CAN,1953,5.699999809265137
Canada,CAN,1954,5.800000190734863
Canada,CAN,1955,8.600000381469727
Canada,CAN,1956,8.800000190734863
Canada,CAN,1957,9.300000190734863
Canada,CAN,1958,9.699999809265137
Canada,CAN,1959,9.899999618530273
Canada,CAN,1960,9.800000190734863
Canada,CAN,1961,10.19999980926514
Canada,CAN,1962,10.5
Canada,CAN,1963,10.5
Canada,CAN,1964,10.39999961853027
Canada,CAN,1965,10.69999980926514
Canada,CAN,1966,10.80000019073486
Canada,CAN,1967,10.60000038146973
Canada,CAN,1968,10.30000019073486
Canada,CAN,1969,10.10000038146973
Canada,CAN,1970,10.5
Canada,CAN,1971,10.5
Canada,CAN,1972,10.60000038146973
Canada,CAN,1973,10.80000019073486
Canada,CAN,1974,10.69999980926514
Canada,CAN,1975,10.60000038146973
Canada,CAN,1976,10.89999961853027
Canada,CAN,1977,10.69999980926514
Canada,CAN,1978,10.39999961853027
Canada,CAN,1979,10.5
Canada,CAN,1980,10.30000019073486
Canada,CAN,1981,10.30000019073486
Canada,CAN,1982,10.39999961853027
Canada,CAN,1983,9.699999809265137
Canada,CAN,1984,9.600000381469727
Canada,CAN,1985,9.100000381469727
Canada,CAN,1986,8.699999809265137
Canada,CAN,1987,8.300000190734863
Canada,CAN,1988,8
Canada,CAN,1989,7.300000190734863
Canada,CAN,1990,7
Canada,CAN,1991,6.300000190734863
Canada,CAN,1992,6.400000095367432
Canada,CAN,1993,6
Canada,CAN,1994,6.599999904632568
Canada,CAN,1995,5.900000095367432
Canada,CAN,1996,6.199999809265137
Canada,CAN,1997,5.800000190734863
Canada,CAN,1998,5.800000190734863
Canada,CAN,1999,5.699999809265137
Canada,CAN,2000,5.300000190734863
Canada,CAN,2001,5
Canada,CAN,2002,4.400000095367432
Canada,CAN,2003,4.199999809265137
Canada,CAN,2004,4
Canada,CAN,2005,3.700000047683716
Canada,CAN,2006,3.400000095367432
Canada,CAN,2007,3.200000047683716
Canada,CAN,2008,3
Canada,CAN,2009,3.099999904632568
Canada,CAN,2010,3.5
Croatia,HRV,1993,6.800000190734863
Croatia,HRV,1994,6.800000190734863
Croatia,HRV,1995,6.800000190734863
Croatia,HRV,1996,8
Croatia,HRV,1997,6.699999809265137
Croatia,HRV,1998,7.199999809265137
Croatia,HRV,1999,7
Croatia,HRV,2000,6.400000095367432
Croatia,HRV,2001,6.300000190734863
Croatia,HRV,2002,5.5
Croatia,HRV,2003,5.400000095367432
Croatia,HRV,2004,4.900000095367432
Croatia,HRV,2005,5.400000095367432
Croatia,HRV,2006,5.900000095367432
Croatia,HRV,2007,6.5
Croatia,HRV,2008,6.099999904632568
Croatia,HRV,2009,4.300000190734863
Croatia,HRV,2010,4.900000095367432
Croatia,HRV,2011,5
Croatia,HRV,2012,5
Croatia,HRV,2013,4.699999809265137
Czechia,CZE,1975,6.800000190734863
Czechia,CZE,1980,6.900000095367432
Czechia,CZE,1981,7
Czechia,CZE,1982,6.699999809265137
Czechia,CZE,1983,6.900000095367432
Czechia,CZE,1984,6.699999809265137
Czechia,CZE,1985,6.699999809265137
Czechia,CZE,1986,6.800000190734863
Czechia,CZE,1987,6.5
Czechia,CZE,1988,6.199999809265137
Czechia,CZE,1989,6.199999809265137
Czechia,CZE,1993,5.300000190734863
Czechia,CZE,1994,6.699999809265137
Czechia,CZE,1995,6.800000190734863
Czechia,CZE,1996,7.400000095367432
Czechia,CZE,1997,7.900000095367432
Czechia,CZE,1998,6.099999904632568
Czechia,CZE,1999,6.900000095367432
Czechia,CZE,2000,6.199999809265137
Czechia,CZE,2001,5.400000095367432
Czechia,CZE,2002,6.199999809265137
Czechia,CZE,2003,7.5
Czechia,CZE,2004,7.599999904632568
Czechia,CZE,2005,7.599999904632568
Czechia,CZE,2006,6.400000095367432
Czechia,CZE,2007,6.699999809265137
Czechia,CZE,2008,6.300000190734863
Czechia,CZE,2009,6
Czechia,CZE,2010,5.5
Czechia,CZE,2011,5.099999904632568
Czechia,CZE,2012,5.300000190734863
Czechia,CZE,2013,4.099999904632568
Czechia,CZE,2014,4.400000095367432
Czechoslovakia,OWID_CZS,1923,2.200000047683716
Czechoslovakia,OWID_CZS,1924,2.5
Czechoslovakia,OWID_CZS,1925,2.599999904632568
Czechoslovakia,OWID_CZS,1926,2.700000047683716
Czechoslovakia,OWID_CZS,1927,2.900000095367432
Czechoslovakia,OWID_CZS,1928,3.099999904632568
Czechoslovakia,OWID_CZS,1929,3.200000047683716
Czechoslovakia,OWID_CZS,1930,3.200000047683716
Czechoslovakia,OWID_CZS,1931,2.900000095367432
Czechoslovakia,OWID_CZS,1932,2.700000047683716
Czechoslovakia,OWID_CZS,1933,2.599999904632568
Czechoslovakia,OWID_CZS,1934,2.599999904632568
Czechoslovakia,OWID_CZS,1937,2.700000047683716
Czechoslovakia,OWID_CZS,1948,4
Czechoslovakia,OWID_CZS,1950,4.300000190734863
Czechoslovakia,OWID_CZS,1953,4.699999809265137
Czechoslovakia,OWID_CZS,1955,4.699999809265137
Czechoslovakia,OWID_CZS,1960,5.099999904632568
Czechoslovakia,OWID_CZS,1961,5.300000190734863
Czechoslovakia,OWID_CZS,1962,4.900000095367432
Czechoslovakia,OWID_CZS,1963,5
Czechoslovakia,OWID_CZS,1964,4.599999904632568
Czechoslovakia,OWID_CZS,1965,5
Czechoslovakia,OWID_CZS,1966,5.099999904632568
Czechoslovakia,OWID_CZS,1967,5.099999904632568
Czechoslovakia,OWID_CZS,1968,5.400000095367432
Czechoslovakia,OWID_CZS,1969,4.599999904632568
Czechoslovakia,OWID_CZS,1970,5.099999904632568
Czechoslovakia,OWID_CZS,1971,5.199999809265137
Czechoslovakia,OWID_CZS,1972,5.099999904632568
Czechoslovakia,OWID_CZS,1973,5.199999809265137
Czechoslovakia,OWID_CZS,1974,5.300000190734863
Czechoslovakia,OWID_CZS,1975,5.5
Czechoslovakia,OWID_CZS,1976,5.599999904632568
Czechoslovakia,OWID_CZS,1977,5.699999809265137
Czechoslovakia,OWID_CZS,1978,5.599999904632568
Czechoslovakia,OWID_CZS,1979,5.699999809265137
Czechoslovakia,OWID_CZS,1980,5.699999809265137
Czechoslovakia,OWID_CZS,1981,6.699999809265137
Czechoslovakia,OWID_CZS,1982,6.699999809265137
Czechoslovakia,OWID_CZS,1983,6.699999809265137
Czechoslovakia,OWID_CZS,1984,6.900000095367432
Czechoslovakia,OWID_CZS,1985,6.5
Czechoslovakia,OWID_CZS,1986,6.5
Czechoslovakia,OWID_CZS,1987,6.400000095367432
Czechoslovakia,OWID_CZS,1988,6.400000095367432
Czechoslovakia,OWID_CZS,1989,6.099999904632568
Czechoslovakia,OWID_CZS,1990,6.599999904632568
Czechoslovakia,OWID_CZS,1991,6
Czechoslovakia,OWID_CZS,1992,6.599999904632568
Denmark,DNK,1920,1.100000023841858
Denmark,DNK,1921,1
Denmark,DNK,1922,1.100000023841858
Denmark,DNK,1923,1.299999952316284
Denmark,DNK,1924,1.299999952316284
Denmark,DNK,1925,1.399999976158142
Denmark,DNK,1926,1.5
Denmark,DNK,1927,1.5
Denmark,DNK,1928,1.700000047683716
Denmark,DNK,1929,1.100000023841858
Denmark,DNK,1930,1.399999976158142
Denmark,DNK,1931,1.399999976158142
Denmark,DNK,1932,1.200000047683716
Denmark,DNK,1933,1.200000047683716
Denmark,DNK,1934,1.200000047683716
Denmark,DNK,1935,1.299999952316284
Denmark,DNK,1936,1.399999976158142
Denmark,DNK,1937,1.5
Denmark,DNK,1938,1.5
Denmark,DNK,1939,1.700000047683716
Denmark,DNK,1940,1.600000023841858
Denmark,DNK,1941,1.5
Denmark,DNK,1942,1.700000047683716
Denmark,DNK,1943,1
Denmark,DNK,1944,1.200000047683716
Denmark,DNK,1945,1.100000023841858
Denmark,DNK,1946,1.899999976158142
Denmark,DNK,1947,2.099999904632568
Denmark,DNK,1948,2.299999952316284
Denmark,DNK,1949,3.099999904632568
Denmark,DNK,1950,5.199999809265137
Denmark,DNK,1951,4.699999809265137
Denmark,DNK,1952,5.099999904632568
Denmark,DNK,1953,5.199999809265137
Denmark,DNK,1954,5
Denmark,DNK,1955,5
Denmark,DNK,1956,4.900000095367432
Denmark,DNK,1957,5
Denmark,DNK,1958,5.300000190734863
Denmark,DNK,1959,5.400000095367432
Denmark,DNK,1960,5.599999904632568
Denmark,DNK,1961,5.400000095367432
Denmark,DNK,1962,5.5
Denmark,DNK,1963,5.599999904632568
Denmark,DNK,1964,5.5
Denmark,DNK,1965,5.599999904632568
Denmark,DNK,1966,5.599999904632568
Denmark,DNK,1967,5.599999904632568
Denmark,DNK,1968,5.699999809265137
Denmark,DNK,1969,5.900000095367432
Denmark,DNK,1970,5.800000190734863
Denmark,DNK,1971,5.900000095367432
Denmark,DNK,1972,6.099999904632568
Denmark,DNK,1973,6.199999809265137
Denmark,DNK,1974,6.300000190734863
Denmark,DNK,1975,6.199999809265137
Denmark,DNK,1976,6.400000095367432
Denmark,DNK,1977,6.300000190734863
Denmark,DNK,1978,6.099999904632568
Denmark,DNK,1979,6.099999904632568
Denmark,DNK,1980,6
Denmark,DNK,1981,6.099999904632568
Denmark,DNK,1982,6.599999904632568
Denmark,DNK,1983,6.099999904632568
Denmark,DNK,1984,6.300000190734863
Denmark,DNK,1985,6.300000190734863
Denmark,DNK,1986,6.199999809265137
Denmark,DNK,1987,6
Denmark,DNK,1988,5.900000095367432
Denmark,DNK,1989,5.800000190734863
Denmark,DNK,1990,5.699999809265137
Denmark,DNK,1991,5.699999809265137
Denmark,DNK,1992,5.699999809265137
Denmark,DNK,1993,5.599999904632568
Denmark,DNK,1994,5.5
Denmark,DNK,1995,5.5
Denmark,DNK,1996,5.400000095367432
Denmark,DNK,1997,5.400000095367432
Denmark,DNK,1998,5.400000095367432
Denmark,DNK,1999,5.599999904632568
Denmark,DNK,2000,6.400000095367432
Denmark,DNK,2001,6.199999809265137
Denmark,DNK,2002,6.099999904632568
Denmark,DNK,2003,6.400000095367432
Denmark,DNK,2004,6.300000190734863
Denmark,DNK,2005,5.900000095367432
Denmark,DNK,2006,6
Denmark,DNK,2007,5.599999904632568
Denmark,DNK,2008,5.5
Denmark,DNK,2009,5.5
Denmark,DNK,2010,5.400000095367432
Estonia,EST,1988,4.400000095367432
Estonia,EST,1989,4.300000190734863
Estonia,EST,1990,4.300000190734863
Estonia,EST,1991,4.699999809265137
Estonia,EST,1992,4.800000190734863
Estonia,EST,1993,4.900000095367432
Estonia,EST,1994,5
Estonia,EST,1995,5
Estonia,EST,1996,5.300000190734863
Estonia,EST,1997,5.400000095367432
Estonia,EST,1998,5.400000095367432
Estonia,EST,1999,5.400000095367432
Estonia,EST,2000,4.800000190734863
Estonia,EST,2001,5.099999904632568
Estonia,EST,2002,5.5
Estonia,EST,2003,5.099999904632568
Estonia,EST,2004,5.400000095367432
Estonia,EST,2005,5.599999904632568
Estonia,EST,2006,5.199999809265137
Estonia,EST,2007,5.300000190734863
Estonia,EST,2008,5.099999904632568
Estonia,EST,2009,5.099999904632568
Estonia,EST,2010,4.800000190734863
Estonia,EST,2011,4.599999904632568
Estonia,EST,2012,4.699999809265137
Estonia,EST,2013,4.5
Estonia,EST,2014,4.5
Finland,FIN,1920,3.599999904632568
Finland,FIN,1921,2.700000047683716
Finland,FIN,1922,2.900000095367432
Finland,FIN,1923,3.5
Finland,FIN,1924,3.599999904632568
Finland,FIN,1925,3.599999904632568
Finland,FIN,1926,3.5
Finland,FIN,1927,4
Finland,FIN,1928,4.099999904632568
Finland,FIN,1929,4.199999809265137
Finland,FIN,1930,4.400000095367432
Finland,FIN,1931,3.400000095367432
Finland,FIN,1932,3.200000047683716
Finland,FIN,1933,3.299999952316284
Finland,FIN,1934,3.599999904632568
Finland,FIN,1935,3.700000047683716
Finland,FIN,1936,3.799999952316284
Finland,FIN,1937,4.199999809265137
Finland,FIN,1938,4.599999904632568
Finland,FIN,1939,4
Finland,FIN,1940,3.799999952316284
Finland,FIN,1941,4.599999904632568
Finland,FIN,1942,3.700000047683716
