Entity,Code,Year,Days of vacation and holidays for full-time production workers in non-agricultural activities (Huberman & Minns 2007)
Australia,AUS,1870,8
Australia,AUS,1900,9
Australia,AUS,1938,22
Australia,AUS,1950,22
Australia,AUS,1980,32
Australia,AUS,1990,32
Australia,AUS,2000,32
Belgium,BEL,1870,18
Belgium,BEL,1900,21
Belgium,BEL,1938,30
Belgium,BEL,1950,28
Belgium,BEL,1980,34
Belgium,BEL,1990,34
Belgium,BEL,2000,33
Canada,CAN,1870,8
Canada,CAN,1900,9
Canada,CAN,1938,22
Canada,CAN,1950,22
Canada,CAN,1980,25
Canada,CAN,1990,25
Canada,CAN,2000,24
Denmark,DNK,1870,13
Denmark,DNK,1900,14
Denmark,DNK,1938,27
Denmark,DNK,1950,27
Denmark,DNK,1980,30
Denmark,DNK,1990,35
Denmark,DNK,2000,37
France,FRA,1870,19
France,FRA,1900,23
France,FRA,1938,33
France,FRA,1950,28
France,FRA,1980,30
France,FRA,1990,36
France,FRA,2000,36
Germany,DEU,1870,13
Germany,DEU,1900,18
Germany,DEU,1938,31
Germany,DEU,1950,29
Germany,DEU,1980,29
Germany,DEU,1990,35
Germany,DEU,2000,42.5
Ireland,IRL,1870,14
Ireland,IRL,1900,20
Ireland,IRL,1938,33
Ireland,IRL,1950,20
Ireland,IRL,1980,28
Ireland,IRL,1990,28
Ireland,IRL,2000,30
Italy,ITA,1870,23
Italy,ITA,1900,24
Italy,ITA,1938,37
Italy,ITA,1950,24
Italy,ITA,1980,35
Italy,ITA,1990,40
Italy,ITA,2000,41.5
Netherlands,NLD,1870,4
Netherlands,NLD,1900,5
Netherlands,NLD,1938,21
Netherlands,NLD,1950,24
Netherlands,NLD,1980,33
Netherlands,NLD,1990,35
Netherlands,NLD,2000,37.5
Spain,ESP,1870,31
Spain,ESP,1900,31
Spain,ESP,1938,44
Spain,ESP,1980,30
Spain,ESP,1990,35
Spain,ESP,2000,36
Sweden,SWE,1870,11
Sweden,SWE,1900,13
Sweden,SWE,1938,28
Sweden,SWE,1950,29
Sweden,SWE,1980,30
Sweden,SWE,1990,37
Sweden,SWE,2000,38
Switzerland,CHE,1870,13
Switzerland,CHE,1900,18
Switzerland,CHE,1938,33
Switzerland,CHE,1950,25
Switzerland,CHE,1980,28
Switzerland,CHE,1990,28
Switzerland,CHE,2000,33
United Kingdom,GBR,1870,14
United Kingdom,GBR,1900,20
United Kingdom,GBR,1938,30
United Kingdom,GBR,1950,24
United Kingdom,GBR,1980,28
United Kingdom,GBR,1990,30
United Kingdom,GBR,2000,32.5
United States,USA,1870,4
United States,USA,1900,5
United States,USA,1938,17
United States,USA,1950,18
United States,USA,1980,22
United States,USA,1990,23
United States,USA,2000,20