"genre"	"y1945"	"y1946"	"y1947"	"y1948"	"y1949"	"y1950"	"y1951"	"y1952"	"y1953"	"y1954"	"y1955"	"y1956"	"y1957"	"y1958"	"y1959"	"y1960"	"y1961"	"y1962"	"y1963"	"y1964"	"y1965"	"y1966"	"y1967"	"y1968"	"y1969"	"y1970"	"y1971"	"y1972"	"y1973"	"y1974"	"y1975"	"y1976"	"y1977"	"y1978"	"y1979"	"y1980"	"y1981"	"y1982"	"y1983"	"y1984"	"y1985"	"y1986"	"y1987"	"y1988"	"y1989"	"y1990"	"y1991"	"y1992"	"y1993"	"y1994"	"y1995"	"y1996"	"y1997"	"y1998"	"y1999"	"y2000"	"y2001"	"y2002"	"y2003"	"y2004"	"y2005"	"y2006"	"y2007"	"y2008"	"y2009"	"y2010"	"y2011"	"y2012"	"y2013"	"y2014"	"y2015"	"y2016"	"y2017"	"y2018"	"y2019"	"y2020"	"y2021"
"Drama"	0	17	37	98	379	680	910	1076	1341	2632	2466	1780	1573	1690	1553	1720	1894	1122	1565	1471	2240	2356	2056	1916	2145	2797	2952	2635	2612	2558	2680	2532	1714	2194	1431	1548	2267	2865	2648	2845	1864	2158	2268	2069	2622	2578	2708	2838	3609	4448	4098	5230	5890	5965	6536	7793	9188	9118	9572	8536	9677	11168	15705	17802	17647	18758	19168	20613	19452	21016	23019	22204	26178	27404	28297	16008	17912
"Comedy"	5	13	20	19	74	168	506	455	690	998	1195	764	878	796	644	783	940	828	925	1057	1210	984	1079	1075	1244	1372	1412	1454	1489	1328	1489	1310	1439	1416	1474	1518	1730	1979	1629	1664	1434	1762	2032	2168	2743	2880	3672	3283	3740	3993	4523	4469	4703	4573	4206	4321	4498	4228	4728	6460	6519	7469	9099	10013	11661	13243	17537	21066	24554	25343	26648	28802	28503	25190	22904	21997	12978
"Talk-Show"	0	5	9	76	96	119	172	114	30	32	141	107	281	275	226	149	296	471	127	234	625	412	821	684	936	647	651	666	655	623	559	515	603	610	629	748	729	840	678	655	938	861	1060	1068	1633	1309	1357	1493	1781	1957	2217	2348	2871	3017	3077	3106	3929	4089	5203	6724	7043	7858	9453	9119	10104	12958	17012	19311	23190	24284	26320	29715	29696	25726	26732	32141	20596
"Drama,Romance"	0	0	0	0	13	26	186	131	22	18	7	209	120	86	25	119	165	181	420	809	1389	1397	1120	1560	1541	2143	3335	3164	3673	2950	3403	2774	3899	2979	3086	3887	3735	4721	3938	3608	4817	3985	4662	5071	4861	5025	5434	5536	5335	4659	5001	5936	5864	5796	7317	5897	6128	5432	7672	7918	7728	7681	7167	7524	9143	8894	8665	9302	8713	9027	7968	6597	7035	7628	6478	4954	4487
"News"	0	2	0	1	0	21	55	137	123	147	49	35	63	84	61	52	37	85	83	107	322	418	428	375	404	405	431	473	431	596	739	714	719	744	747	400	236	345	516	505	534	541	783	624	728	1011	913	965	867	1006	1929	1773	2206	2640	2785	3215	3507	3087	3265	3921	4199	4365	6103	5645	6266	7200	7871	12748	14730	14065	14014	14980	15223	12219	12425	13393	14978
"Documentary"	0	1	5	3	5	13	28	9	11	56	80	145	292	230	214	230	311	345	407	499	413	551	634	642	746	696	714	581	604	597	629	760	728	793	705	801	838	987	947	1073	1003	1051	1175	1076	1063	1374	1080	1229	1348	1446	1509	1683	1638	1992	2387	2619	3188	3429	4128	4869	5616	6225	7025	7038	7461	7797	9202	9806	10373	10935	11838	12850	13319	13286	13184	12761	8037
"Reality-TV"	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	4	7	21	10	11	7	1	1	24	3	26	19	15	5	0	27	63	59	77	76	70	42	58	54	53	13	25	21	20	31	32	30	89	199	333	397	443	416	491	661	1076	1095	861	1614	2623	3206	4166	6278	7658	8765	11198	14732	15091	15253	15797	16163	16488	16050	15018	14621	12174	8200
"Adult"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	4	24	51	235	540	881	1289	1882	2702	3773	5173	5452	7200	6917	7768	9512	10374	11529	12705	12609	12336	11337	9539	5891
"Game-Show"	2	9	5	16	27	45	124	87	130	163	191	242	301	208	200	316	220	223	543	673	467	593	478	520	549	198	203	225	524	308	307	500	656	640	785	758	669	740	1435	1447	1394	1504	1573	1370	945	1099	1291	1066	1575	1808	2259	2003	1469	2065	2729	3003	2772	2093	2389	2889	2027	3007	2808	3543	3541	3414	3450	3535	3339	4041	4287	3993	4124	4544	4900	3930	3063
"News,Talk-Show"	0	0	4	1	2	7	9	36	9	10	20	20	42	18	21	24	14	22	37	46	59	88	85	61	32	19	21	21	50	27	70	55	109	174	169	189	69	72	71	94	93	117	116	139	200	203	103	121	333	630	638	574	550	936	937	973	1121	1328	1517	2181	3062	2113	2608	2558	2516	3927	5958	7282	7805	7900	7785	8084	8571	5978	6051	6518	6669
"Family"	0	3	1	22	21	44	99	98	75	63	171	186	234	269	281	337	412	547	622	895	885	1144	909	819	681	799	653	547	663	525	586	466	524	583	579	603	581	556	622	639	935	640	617	645	666	694	585	702	686	938	1102	898	786	1655	1480	1763	1710	1856	1956	2232	1801	2563	3097	2859	2511	3141	3173	2775	3435	4115	4130	4720	4710	4189	3884	3882	1917
"Comedy,Talk-Show"	0	0	0	0	0	15	32	4	0	0	0	0	0	0	0	0	14	111	403	322	277	286	266	296	275	334	263	272	323	248	252	250	309	233	237	346	269	217	163	171	169	279	311	142	168	237	376	504	300	260	310	794	1039	1188	1350	1176	1131	1263	1283	1483	1474	1649	1701	1306	1758	2075	2337	2411	2955	3688	4370	5074	5433	5325	5234	4381	2237
"Sport"	0	5	18	13	12	21	27	38	28	16	19	43	50	98	42	135	83	90	79	132	95	118	84	102	144	165	152	130	165	165	232	261	233	257	283	290	313	361	378	324	313	336	343	352	335	430	376	441	404	423	469	523	637	859	885	926	977	1206	1073	1149	1242	1550	1767	1921	1986	2445	2655	3168	3074	3051	3249	4162	5073	4683	5308	4449	3211
"Music"	0	17	164	334	474	557	738	342	306	227	295	424	586	667	719	532	492	555	624	1001	1519	1534	1190	746	918	901	776	571	566	822	937	674	601	527	482	733	580	446	445	537	496	421	442	381	273	285	325	383	427	368	342	304	228	517	763	718	778	717	815	1166	1269	1404	1388	1418	1478	1508	1871	1857	2002	2171	1882	2043	1819	1714	1681	1766	999
"Comedy,Drama,Romance"	0	0	0	0	0	0	0	6	0	0	13	22	0	7	13	1	7	25	8	7	6	5	26	0	38	4	92	46	235	290	116	130	369	153	155	128	162	233	397	150	167	286	437	44	174	92	358	243	205	524	1263	795	333	1214	1413	946	998	1267	1198	991	1121	2786	2825	2620	2767	1765	1984	2109	2521	3482	4420	3474	2696	3107	2554	1974	1380
"Romance"	0	0	0	0	5	0	0	13	15	145	2	0	0	0	0	3	0	0	0	0	3	38	17	8	397	183	81	312	16	15	0	0	6	21	25	224	23	6	16	0	7	5	254	5	3	383	384	101	198	380	166	487	182	663	262	531	165	334	778	1740	1873	2001	1345	1285	2240	2665	2090	1369	2375	3299	2899	3188	2932	4104	2873	1225	1405
"Comedy,Drama"	0	0	2	0	14	37	103	213	232	217	271	291	247	186	152	144	149	166	184	160	110	104	108	106	117	175	264	155	118	355	135	129	116	134	147	168	170	106	143	225	205	283	293	237	314	221	280	381	475	496	390	483	392	487	485	972	1029	836	985	613	866	907	1350	1620	1179	1365	1438	2093	1686	1862	1677	1694	2583	3217	2653	1929	1696
"Action,Adventure,Animation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	28	1	74	150	130	125	195	136	41	13	19	83	104	110	52	32	134	224	243	242	247	269	748	668	986	577	490	235	249	315	553	383	450	713	995	767	847	738	1065	1186	1035	1356	1358	1384	1403	1496	1096	1086	1072	1098	1124	1495	1401	1479	1626	1727	1830	2102	2160	1641	1484
"Animation"	0	0	0	0	4	6	0	0	2	3	1	13	0	1	196	90	94	24	84	55	64	55	169	76	48	112	20	52	93	121	184	87	136	92	152	249	130	50	83	28	66	118	66	79	285	246	253	81	236	160	190	193	183	399	545	224	268	476	440	537	539	1002	742	1219	1272	1469	1982	1833	2172	2048	2479	2434	3049	2790	2949	2944	1843
"Crime,Drama,Mystery"	0	0	6	11	2	73	83	112	116	84	96	269	335	373	351	345	375	329	303	341	169	67	114	117	310	179	244	331	352	410	241	123	185	186	297	376	382	341	308	360	368	224	322	239	258	260	214	215	273	323	704	573	734	767	550	422	577	450	772	797	1345	847	898	1047	950	1006	1326	1124	1295	1629	1225	1511	1628	1477	1407	1183	1047
"Comedy,Music,Talk-Show"	0	0	0	0	0	44	69	14	0	66	256	249	19	0	0	1	15	234	194	256	250	254	259	281	457	321	270	298	311	309	492	418	305	359	295	207	68	216	187	159	164	163	203	161	202	162	158	336	558	760	853	932	890	703	749	725	721	698	1032	1058	1366	1268	1173	1407	1390	1486	1302	1299	1506	1311	906	773	766	601	663	409	260
"Crime,Drama"	0	12	0	0	0	16	133	230	98	154	157	27	195	219	434	521	426	247	252	282	210	274	355	407	421	311	366	357	323	320	320	222	145	188	219	269	196	191	297	307	268	233	169	239	258	327	287	294	428	655	712	894	912	772	774	694	699	769	939	930	930	818	681	734	560	551	796	765	683	531	935	1038	862	966	981	791	860
"Comedy,Family"	0	0	0	32	59	111	134	136	279	315	194	205	153	243	322	355	394	434	426	298	323	280	252	276	338	347	251	374	394	362	491	327	274	162	196	142	191	276	200	283	276	361	367	482	670	392	505	508	650	597	753	595	482	729	457	467	736	1101	529	717	553	443	532	520	554	724	898	870	976	600	1119	746	827	986	1078	755	394
"Crime"	0	0	0	0	0	0	2	1	0	2	6	12	20	58	100	56	71	20	53	83	92	106	125	83	58	141	43	98	91	126	75	130	158	71	42	94	67	68	41	40	54	142	59	113	65	87	55	139	130	109	107	156	173	150	179	208	302	317	514	676	712	900	1199	1103	1334	1276	1581	1340	1321	1630	1626	2182	2046	1958	2601	1579	1185
"Adventure,Animation,Comedy"	5	2	10	10	6	3	5	4	6	14	8	22	4	0	28	61	199	58	137	60	49	58	49	46	144	191	160	197	205	256	247	205	230	211	95	229	103	217	251	366	192	296	318	271	384	388	444	479	309	307	428	417	595	713	549	408	305	599	626	637	647	721	797	648	620	707	922	964	993	1135	1221	1382	1736	1792	1410	1395	1002
"Drama,Family"	0	0	0	0	0	4	44	24	40	51	90	78	68	60	8	44	45	42	111	146	34	24	35	27	69	73	344	90	85	117	65	76	94	102	86	90	90	288	83	76	113	139	145	164	511	197	138	405	522	636	566	579	541	665	1086	617	439	738	543	880	831	1119	1097	1349	840	913	915	1560	1205	864	1294	1085	1274	1205	846	788	568
"Animation,Comedy,Family"	12	9	11	12	15	13	18	18	18	19	14	21	75	108	134	424	427	165	231	77	296	120	181	196	195	100	180	234	335	234	158	220	205	247	169	291	271	296	214	187	329	365	294	378	243	335	503	552	589	306	270	439	460	551	579	512	636	515	532	385	569	649	961	560	557	924	796	660	509	779	953	1039	912	851	1182	968	570
"Comedy,Drama,Family"	0	0	0	0	5	13	19	32	76	81	137	143	152	108	48	36	38	32	41	42	45	31	0	0	30	27	27	26	140	30	0	3	63	47	80	84	71	153	369	189	311	92	176	327	200	158	481	413	184	475	352	487	964	992	972	1016	552	922	1071	1285	1348	971	1121	1208	547	643	594	671	822	751	675	914	851	725	486	614	403
"Comedy,Romance"	0	0	0	0	0	17	43	39	44	65	39	0	10	34	8	0	3	7	6	62	4	0	41	11	24	53	33	44	24	3	9	213	142	13	18	173	14	59	13	13	0	0	33	180	29	197	3	68	132	196	180	297	663	532	241	386	676	318	518	794	1225	1208	1380	1849	765	781	893	1201	1114	1330	1100	1273	1678	1266	1595	657	1006
"Action,Crime,Drama"	0	0	0	0	13	72	54	64	102	45	13	38	52	126	183	158	139	98	76	35	74	75	76	93	133	116	136	158	170	234	317	248	165	164	100	92	108	148	154	234	203	147	105	95	68	42	15	18	63	191	200	259	390	364	263	279	278	371	389	453	371	340	343	434	507	763	1083	1128	876	810	903	951	1602	1324	1416	590	405
"Family,Game-Show"	0	2	3	11	64	117	102	245	162	179	185	96	160	159	188	184	224	154	172	184	221	215	190	170	161	174	139	70	128	74	238	71	69	230	311	345	238	105	228	821	1007	663	537	560	445	487	326	330	530	644	588	437	392	270	249	334	350	371	390	307	301	288	353	369	343	376	364	283	305	258	228	296	358	337	344	217	155
"Game-Show,Reality-TV"	0	0	1	0	0	0	0	0	0	1	0	1	3	1	0	1	0	0	0	0	0	10	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	18	1	3	2	9	1	0	10	52	45	52	49	48	56	198	285	189	270	409	528	842	909	972	754	1163	1074	1436	1095	1303	1317	1182	1069	1487	1534	1383	1110
"Crime,Drama,Romance"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	256	201	262	265	33	0	1	0	0	3	1	0	1	1	5	4	4	5	27	47	23	48	118	143	190	344	138	123	163	158	150	363	291	208	373	682	523	361	282	651	577	327	349	534	1263	709	495	1047	1291	479	479	804	885	783	1026	952	1040	788	817
"Documentary,News"	0	0	0	0	0	0	7	44	55	95	86	64	58	54	84	93	44	25	36	57	39	70	22	30	30	45	40	43	73	81	73	62	74	79	91	77	59	52	78	75	88	91	88	120	115	134	152	145	157	218	225	285	375	336	388	354	291	314	450	487	537	553	459	543	482	1054	1336	1410	1120	1070	1031	990	910	641	501	623	1036
"Comedy,News,Talk-Show"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	3	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	4	46	123	230	220	228	182	182	251	223	254	335	571	545	581	593	729	883	1073	1357	1394	1216	1601	1509	1513	1217	1274	935
"Animation,Family"	0	0	0	0	0	0	0	0	0	0	11	11	14	23	33	29	19	50	79	33	7	75	67	48	55	27	63	214	157	119	255	228	177	145	183	142	236	112	168	121	111	131	179	175	176	150	236	236	129	148	194	202	230	180	238	265	344	390	322	215	596	404	355	493	760	616	627	498	484	761	928	792	890	714	857	595	275
"Animation,Comedy"	0	0	0	0	0	0	0	0	0	0	0	0	0	20	84	143	26	67	18	37	28	18	0	74	2	52	230	188	32	47	62	20	0	43	0	0	13	63	29	44	22	11	26	104	145	77	79	81	93	125	103	173	96	213	195	246	437	419	373	426	556	745	652	522	724	539	701	797	933	735	974	941	810	990	778	682	807
"Music,Talk-Show"	0	0	0	0	0	0	0	11	7	31	15	13	106	55	111	149	96	75	77	150	118	100	81	143	224	178	163	161	191	183	170	120	203	184	172	178	219	191	203	216	224	202	179	157	187	136	209	301	215	230	220	346	288	225	154	194	173	383	362	424	427	505	435	406	509	580	665	532	755	663	710	482	491	485	318	178	197
"Crime,Documentary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	8	9	15	15	14	9	10	10	102	112	113	74	80	95	113	74	78	84	117	181	134	157	178	264	373	342	362	329	431	368	460	502	745	842	804	950	1155	1264	1350	1594	1940	1341
"Comedy,Game-Show"	0	0	1	1	5	0	5	0	0	0	0	0	45	20	0	0	1	1	1	1	12	1	2	5	27	7	33	36	159	271	285	302	353	293	92	36	54	106	39	20	38	14	29	29	16	38	109	93	174	266	291	225	204	267	440	486	539	441	475	411	477	547	259	348	353	378	656	689	658	617	566	752	786	723	614	562	354
"Documentary,Reality-TV"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	5	13	0	2	1	1	1	0	0	0	1	27	13	7	46	54	18	5	6	11	30	25	35	33	80	90	133	381	794	1228	1084	1101	998	867	935	889	861	1348	1004	932	1029	776	640	411
"Comedy,Crime,Drama"	0	0	0	0	0	0	0	7	27	31	48	83	80	74	71	47	37	27	9	9	13	8	4	0	4	0	0	202	245	227	244	190	120	0	12	20	11	18	19	23	12	27	49	45	72	88	155	110	143	119	104	83	91	102	99	137	166	164	177	405	331	386	516	525	581	640	718	659	582	666	652	957	1132	606	944	524	499
"Adventure"	0	0	0	0	0	1	0	78	73	93	120	75	170	184	241	270	268	173	117	136	62	101	147	193	166	179	141	119	164	98	85	94	79	29	96	40	31	45	44	44	42	63	32	32	45	97	57	63	65	102	94	49	31	62	95	128	157	123	143	171	252	218	320	480	202	322	326	431	585	604	657	808	967	1011	821	717	438
"Drama,Mystery,Romance"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	6	3	44	0	39	0	89	60	60	40	42	214	12	125	4	82	52	9	85	9	49	43	89	183	16	186	27	638	279	270	294	359	473	388	161	221	231	205	220	230	642	593	955	971	895	403	371	531	753	377	232	298	226	143	351	339	259	231	153
