Entity,Code,Year,Total corporate investment - inflation adjusted
Merger/Acquisition,,2022,77173925249
Merger/Acquisition,,2021,119660000000
Merger/Acquisition,,2020,27284262020
Merger/Acquisition,,2019,33821216045
Merger/Acquisition,,2018,23621530919
Merger/Acquisition,,2017,27282738242
Merger/Acquisition,,2016,14733540196
Merger/Acquisition,,2015,10117764918
Merger/Acquisition,,2014,7657417339
Merger/Acquisition,,2013,6885993321
Minority Stake,,2022,7573877727
Minority Stake,,2021,2020000000
Minority Stake,,2020,48223833793
Minority Stake,,2019,2183381543
Minority Stake,,2018,2168993931
Minority Stake,,2017,1426042639
Minority Stake,,2016,1817701128
Minority Stake,,2015,1349035322
Minority Stake,,2014,389166203
Minority Stake,,2013,2244926877
Private Investment,,2022,85053350610
Private Investment,,2021,125360000000
Private Investment,,2020,64504350846
Private Investment,,2019,58389557878
Private Investment,,2018,46509272846
Private Investment,,2017,28432416028
Private Investment,,2016,19339888396
Private Investment,,2015,15262391147
Private Investment,,2014,10942437932
Private Investment,,2013,6013612411
Public Offering,,2022,5740591920
Public Offering,,2021,29100000000
Public Offering,,2020,13621191438
Public Offering,,2019,6899909635
Public Offering,,2018,13618260402
Public Offering,,2017,2244082603
Public Offering,,2016,2291884031
Public Offering,,2015,2343663060
Public Offering,,2014,2804285872
Public Offering,,2013,1802920549
Total,,2022,175541745506
Total,,2021,276140000000
Total,,2020,153633638097
Total,,2019,101294065101
Total,,2018,85918058097
Total,,2017,59385279512
Total,,2016,38183013750
Total,,2015,29072854447
Total,,2014,21793307346
Total,,2013,16947453158