DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AL,2018,6.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2006,25.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2007,25.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2008,25.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2009,24.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2010,24.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2011,23.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2012,22.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2013,22.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2014,22.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2015,21.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2016,20.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2017,20.7,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2018,20.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2019,19.9,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2020,18.9,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,AT,2021,18.8,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2006,9.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2007,10.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2008,10.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2009,10.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2010,10.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2011,9.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2012,8.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2013,7.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2014,6.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2015,6.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2016,6.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2017,5.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2018,5.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2019,5.8,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2020,5.3,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BE,2021,5.0,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2002,18.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2006,12.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2007,12.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2008,12.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2009,13.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2010,13.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2011,13.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2012,15.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2013,14.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2014,14.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2015,15.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2016,14.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2017,14.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2018,13.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2019,14.1,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2020,12.7,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,BG,2021,12.2,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2006,18.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2008,18.4,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2009,18.4,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2010,17.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2011,17.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2012,17.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2013,17.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2014,17.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2015,17.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2016,17.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2017,17.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2018,18.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2019,18.6,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2020,18.4,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CH,2021,17.7,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2002,22.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2006,21.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2007,22.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2008,19.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2009,17.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2010,16.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2011,16.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2012,15.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2013,14.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2014,14.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2015,13.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2016,12.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2017,11.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2018,10.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2019,10.1,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2020,9.9,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CY,2021,9.7,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2002,22.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2006,23.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2007,23.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2008,26.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2009,25.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2010,21.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2011,22.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2012,22.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2013,22.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2014,22.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2015,22.5,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2016,21.5,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2017,21.1,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2018,20.1,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2019,19.2,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2020,16.4,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,CZ,2021,15.0,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2006,22.7,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2007,22.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2008,22.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2009,22.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2010,22.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2011,22.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2012,22.7,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2013,22.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2014,22.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2015,21.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2016,21.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2017,20.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2018,20.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2019,19.2,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2020,18.3,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DE,2021,17.6,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2006,17.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2007,17.7,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2008,17.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2009,16.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2010,17.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2011,16.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2012,16.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2013,16.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2014,16.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2015,15.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2016,15.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2017,14.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2018,14.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2019,14.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2020,13.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,DK,2021,14.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2010,17.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2011,17.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2012,17.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2013,17.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2014,16.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2015,16.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2016,16.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2017,15.7,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2018,15.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2019,14.6,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2020,14.0,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA19,2021,13.6,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2010,16.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2011,17.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2012,17.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2013,17.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2014,16.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2015,16.4,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2016,16.2,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2017,15.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2018,15.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2019,14.5,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2020,13.9,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EA20,2021,13.5,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2006,29.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2007,30.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2008,27.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2009,26.6,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2010,27.7,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2011,27.3,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2012,29.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2013,29.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2014,28.1,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2015,26.7,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2016,24.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2017,24.9,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2018,21.8,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2019,21.7,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2020,21.1,p
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EE,2021,20.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EL,2002,25.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EL,2006,20.7,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EL,2007,21.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EL,2008,22,d
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EL,2010,15.0,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EL,2014,12.5,
ESTAT:SDG_05_20(1.0),01/03/23 11:00:00,A,PC,B-S_X_O,EL,2018,10.4,
